Temperature table
-----------------
Fahrenheit     Celsius
   -40           -40.00
   -35           -37.22
   -30           -34.44
   -25           -31.67
   -20           -28.89
   -15           -26.11
   -10           -23.33
    -5           -20.56
     0           -17.78
     5           -15.00
    10           -12.22
    15            -9.44
    20            -6.67
    25            -3.89
    30            -1.11
    35             1.67
    40             4.44
    45             7.22
    50            10.00
    55            12.78
    60            15.56
    65            18.33
    70            21.11
    75            23.89
    80            26.67
    85            29.44
    90            32.22
    95            35.00
   100            37.78
